StudyHours,ParentalSupport,FinalGrade
6,1,9.506204291806444
19,2,65.40164280586082
28,2,86.79364261681552
14,0,34.15889188358055
10,1,28.928377583719037
7,1,20.554028947678773
28,2,79.63916557082933
20,2,56.9046531982252
6,2,33.7807991519469
25,1,59.89059562830617
18,1,52.09025218878255
22,2,62.05270987848259
10,1,27.785988275471787
10,0,21.89113307370426
23,0,55.66919900464059
20,0,40.404854029722834
3,0,3.917718182243125
7,1,28.287516257940563
23,1,59.590641399123555
2,0,0.0
21,0,39.31919949910489
20,0,45.48264428247441
1,2,24.140064204947137
23,2,53.65150567466201
11,1,34.40989569501447
29,2,82.63228179310161
5,1,15.81209304118443
1,2,25.385930327910497
27,2,83.3615955866036
20,1,51.98186970032221
0,0,0.0
11,1,29.387692602337086
25,2,70.06516949883276
21,1,53.88884795986546
28,1,66.31412299866591
11,0,24.507981826730862
24,1,57.26527303539814
16,1,42.9031148687011
26,2,76.82405291164217
26,2,66.67584423568498
9,2,38.54355899813693
27,0,54.5288182351388
27,0,58.603333578565355
15,0,28.86638772225319
14,2,51.26524155524881
29,0,63.51343732731356
29,1,58.75098531417884
14,0,33.84315621725267
29,2,73.07309101437156
18,1,40.53029795465763
11,1,17.602715532638122
22,2,59.98411167493676
19,0,37.97571527674485
24,1,56.08338346867048
2,1,11.68736569899124
4,0,2.43751322835276
18,2,60.33614749488222
6,1,26.79206918106649
20,2,62.090592609777936
8,2,26.567359771071807
6,1,33.36672579008741
17,0,34.73487325228608
3,0,8.698046007918329
24,1,50.50852181314035
27,0,53.942782762651355
13,1,38.066770438118226
17,2,53.29550722766325
25,0,54.36080929676727
8,0,22.5017257399827
25,1,53.282381179662835
20,2,64.25060291061929
1,0,3.971699757324149
19,1,47.9765200266322
27,0,46.145940082361925
14,1,45.39924387599277
27,0,55.98387140635565
6,0,3.0837446891723808
11,1,30.784327697964923
28,1,67.63611693182933
7,2,36.53287650836266
14,0,27.361976028593126
2,0,5.707954029743583
13,0,36.59443106114996
16,0,39.73268377735754
3,1,11.25240477410571
17,1,41.01551334218624
7,0,13.443980000948654
3,0,0.0
1,0,0.0
29,2,69.89152689528258
5,2,24.261400135875
21,0,48.94801414073296
9,2,33.72379740560095
3,0,0.864691205322015
21,2,66.41418830254695
28,1,63.75347806952109
17,0,36.09319734586301
25,1,56.359103753183334
11,1,22.9905601549672
1,2,24.338585387490586
